lat,lon,ele,time,timestamp
0,0,-17,2021-03-07T00:01:17.199Z,0
0,0,-17,2021-03-07T00:01:19.499Z,1.001
0,0,-17,2021-03-07T00:01:20.499Z,2.002
0,0,-17,2021-03-07T00:01:21.499Z,3.003
0,0,-17,2021-03-07T00:01:22.499Z,4.004
0,0,-17,2021-03-07T00:01:23.499Z,5.005
0,0,-17,2021-03-07T00:01:24.499Z,6.006
0,0,-17,2021-03-07T00:01:25.499Z,7.007
0,0,-17,2021-03-07T00:01:26.499Z,8.008
0,0,-17,2021-03-07T00:01:27.499Z,9.009
0,0,-17,2021-03-07T00:01:28.499Z,10.01
0,0,-17,2021-03-07T00:01:29.599Z,11.011
0,0,-17,2021-03-07T00:01:30.499Z,12.012
0,0,-17,2021-03-09T01:17:28.199Z,13.013
0,0,-17,2021-03-09T01:17:29.199Z,14.014
0,0,-17,2021-03-09T01:17:30.199Z,15.015
0,0,-17,2021-03-09T01:17:31.199Z,16.016
0,0,-17,2021-03-09T01:17:32.199Z,17.017
0,0,-17,2021-03-09T01:17:33.199Z,18.018
0,0,-17,2021-03-09T01:17:34.199Z,19.019
0,0,-17,2021-03-09T01:17:35.199Z,20.02
0,0,-17,2021-03-09T01:17:36.199Z,21.021
0,0,-17,2021-03-09T01:17:37.199Z,22.022
0,0,-17,2021-03-09T01:17:38.199Z,23.023
0,0,-17,2021-03-09T01:17:39.199Z,24.024
0,0,-17,2021-03-09T01:17:40.199Z,25.025
0,0,-17,2021-03-09T01:17:41.199Z,26.026
0,0,-17,2021-03-09T01:17:42.199Z,27.027
0,0,-17,2021-03-09T01:17:43.199Z,28.028
0,0,-17,2025-05-20T01:17:44.199Z,29.029
0,0,-17,2025-05-20T01:17:45.199Z,30.03
0,0,-17,2025-05-20T01:17:46.199Z,31.031
0,0,-17,2025-05-20T01:17:47.199Z,32.032
0,0,-17,2025-05-20T01:17:48.199Z,33.033
0,0,-17,2025-05-20T01:17:49.199Z,34.034
0,0,-17,2025-05-20T01:17:50.199Z,35.035
0,0,-17,2025-05-20T01:17:51.199Z,36.036
0,0,-17,2025-05-20T01:17:52.199Z,37.037
0,0,-17,2025-05-20T01:17:53.199Z,38.038
0,0,-17,2025-05-20T01:17:54.199Z,39.039
0,0,-17,2025-05-20T01:17:55.199Z,40.04
0,0,-17,2025-05-20T01:17:56.199Z,41.041
0,0,-17,2025-05-20T01:17:57.199Z,42.042
0,0,-17,2025-05-20T01:17:58.199Z,43.043
0,0,-17,2025-05-20T01:17:59.199Z,44.044
0,0,-17,2025-05-20T01:18:00.199Z,45.045
0,0,-17,2025-05-20T01:18:01.199Z,46.046
0,0,-17,2025-05-20T01:18:02.199Z,47.047
0,0,-17,2025-05-20T01:18:03.199Z,48.048
0,0,-17,2025-05-20T01:18:04.199Z,49.049
0,0,-17,2025-05-20T01:18:05.199Z,50.05
0,0,-17,2025-05-20T01:18:06.199Z,51.051
0,0,-17,2025-05-20T01:18:07.199Z,52.052
0,0,-17,2025-05-20T01:18:08.199Z,53.053
0,0,-17,2025-05-20T01:18:09.199Z,54.054
0,0,-17,2025-05-20T01:18:10.199Z,55.055
0,0,-17,2025-05-20T01:18:11.199Z,56.056
0,0,-17,2025-05-20T01:18:12.199Z,57.057
0,0,-17,2025-05-20T01:18:13.199Z,58.058
0,0,-17,2025-05-20T01:18:14.199Z,59.059
0,0,-17,2025-05-20T01:18:15.199Z,60.06
0,0,-17,2025-05-20T01:18:16.199Z,61.061
0,0,-17,2025-05-20T01:18:17.199Z,62.062
0,0,-17,2025-05-20T01:18:18.199Z,63.063
0,0,-17,2025-05-20T01:18:19.199Z,64.064
0,0,-17,2025-05-20T01:18:20.199Z,65.065
0,0,-17,2025-05-20T01:18:21.199Z,66.066
0,0,-17,2025-05-20T01:18:22.199Z,67.067
0,0,-17,2025-05-20T01:18:23.199Z,68.068
0,0,-17,2025-05-20T01:18:24.199Z,69.069
0,0,-17,2025-05-20T01:18:25.199Z,70.07
0,0,-17,2025-05-20T01:18:26.199Z,71.071
0,0,-17,2025-05-20T01:18:27.199Z,72.072
0,0,-17,2025-05-20T01:18:28.199Z,73.073
0,0,-17,2025-05-20T01:18:29.199Z,74.074
0,0,-17,2025-05-20T01:18:30.199Z,75.075
0,0,-17,2025-05-20T01:18:31.199Z,76.076
0,0,-17,2025-05-20T01:18:32.199Z,77.077
0,0,-17,2025-05-20T01:18:33.299Z,78.078
0,0,-17,2025-05-20T01:18:34.199Z,79.079
0,0,-17,2025-05-20T01:18:35.199Z,80.08
0,0,-17,2025-05-20T01:18:36.199Z,81.081
0,0,-17,2025-05-20T01:18:37.299Z,82.082
0,0,-17,2025-05-20T01:18:38.199Z,83.083
0,0,-17,2025-05-20T01:18:39.299Z,84.084
0,0,-17,2025-05-20T01:18:40.299Z,85.085
0,0,-17,2025-05-20T01:18:41.299Z,86.086
0,0,-17,2025-05-20T01:18:42.199Z,87.087
0,0,-17,2025-05-20T01:18:43.299Z,88.088
0,0,-17,2025-05-20T01:18:44.299Z,89.089
0,0,-17,2025-05-20T01:18:45.299Z,90.09
0,0,-17,2025-05-20T01:18:46.299Z,91.091
0,0,-17,2025-05-20T01:18:47.299Z,92.092
0,0,-17,2025-05-20T01:18:48.299Z,93.093
0,0,-17,2025-05-20T01:18:49.299Z,94.094
0,0,-17,2025-05-20T01:18:50.299Z,95.095
0,0,-17,2025-05-20T01:18:51.299Z,96.096
0,0,-17,2025-05-20T01:18:52.299Z,97.097
0,0,-17,2025-05-20T01:18:53.299Z,98.098
0,0,-17,2025-05-20T01:18:54.299Z,99.099
0,0,-17,2025-05-20T01:18:55.299Z,100.1
0,0,-17,2025-05-20T01:18:56.299Z,101.101
0,0,-17,2025-05-20T01:18:57.299Z,102.102
0,0,-17,2025-05-20T01:18:58.299Z,103.103
0,0,-17,2025-05-20T01:18:59.299Z,104.104
0,0,-17,2025-05-20T01:19:00.299Z,105.105
0,0,-17,2025-05-20T01:19:01.299Z,106.106
0,0,-17,2025-05-20T01:19:02.299Z,107.107
0,0,-17,2025-05-20T01:19:03.299Z,108.108
0,0,-17,2025-05-20T01:19:04.299Z,109.109
0,0,-17,2025-05-20T01:19:05.299Z,110.11
0,0,-17,2025-05-20T01:19:06.299Z,111.111
0,0,-17,2025-05-20T01:19:07.299Z,112.112
0,0,-17,2025-05-20T01:19:08.299Z,113.113
0,0,-17,2025-05-20T01:19:09.299Z,114.114
0,0,-17,2025-05-20T01:19:10.299Z,115.115
0,0,-17,2025-05-20T01:19:11.299Z,116.116
0,0,-17,2025-05-20T01:19:12.299Z,117.117
0,0,-17,2025-05-20T01:19:13.299Z,118.118
0,0,-17,2025-05-20T01:19:14.299Z,119.119
0,0,-17,2025-05-20T01:19:15.299Z,120.12
0,0,-17,2025-05-20T01:19:16.299Z,121.121
0,0,-17,2025-05-20T01:19:17.299Z,122.122
0,0,-17,2025-05-20T01:19:18.299Z,123.123
0,0,-17,2025-05-20T01:19:19.299Z,124.124
0,0,-17,2025-05-20T01:19:20.299Z,125.125
0,0,-17,2025-05-20T01:19:21.299Z,126.126
0,0,-17,2025-05-20T01:19:22.299Z,127.127
0,0,-17,2025-05-20T01:19:23.299Z,128.128
0,0,-17,2025-05-20T01:19:24.299Z,129.129
0,0,-17,2025-05-20T01:19:25.299Z,130.13
0,0,-17,2025-05-20T01:19:26.299Z,131.131
0,0,-17,2025-05-20T01:19:27.299Z,132.132
0,0,-17,2025-05-20T01:19:28.299Z,133.133
0,0,-17,2025-05-20T01:19:29.299Z,134.134
0,0,-17,2025-05-20T01:19:30.299Z,135.135
0,0,-17,2025-05-20T01:19:31.299Z,136.136
0,0,-17,2025-05-20T01:19:32.299Z,137.137
0,0,-17,2025-05-20T01:19:33.299Z,138.138
0,0,-17,2025-05-20T01:19:34.299Z,139.139
0,0,-17,2025-05-20T01:19:35.299Z,140.14
0,0,-17,2025-05-20T01:19:36.299Z,141.141
0,0,-17,2025-05-20T01:19:37.299Z,142.142
0,0,-17,2025-05-20T01:19:38.299Z,143.143
0,0,-17,2025-05-20T01:19:39.299Z,144.144
0,0,-17,2025-05-20T01:19:40.299Z,145.145
0,0,-17,2025-05-20T01:19:41.299Z,146.146
0,0,-17,2025-05-20T01:19:42.299Z,147.147
0,0,-17,2025-05-20T01:19:43.299Z,148.148
0,0,-17,2025-05-20T01:19:44.299Z,149.149
0,0,-17,2025-05-20T01:19:45.299Z,150.15
0,0,-17,2025-05-20T01:19:46.299Z,151.151
0,0,-17,2025-05-20T01:19:47.299Z,152.152
0,0,-17,2025-05-20T01:19:48.299Z,153.153
0,0,-17,2025-05-20T01:19:49.299Z,154.154
0,0,-17,2025-05-20T01:19:50.299Z,155.155
0,0,-17,2025-05-20T01:19:51.299Z,156.156
0,0,-17,2025-05-20T01:19:52.299Z,157.157
0,0,-17,2025-05-20T01:19:53.299Z,158.158
0,0,-17,2025-05-20T01:19:54.299Z,159.159
0,0,-17,2025-05-20T01:19:55.299Z,160.16
0,0,-17,2025-05-20T01:19:56.299Z,161.161
0,0,-17,2025-05-20T01:19:57.299Z,162.162
0,0,-17,2025-05-20T01:19:58.299Z,163.163
0,0,-17,2025-05-20T01:19:59.299Z,164.164
0,0,-17,2025-05-20T01:20:00.299Z,165.165
0,0,-17,2025-05-20T01:20:01.299Z,166.166
0,0,-17,2025-05-20T01:20:02.299Z,167.167
0,0,-17,2025-05-20T01:20:03.299Z,168.168
0,0,-17,2025-05-20T01:20:04.299Z,169.169
0,0,-17,2025-05-20T01:20:05.299Z,170.17
0,0,-17,2025-05-20T01:20:06.299Z,171.171
0,0,-17,2025-05-20T01:20:07.299Z,172.172
0,0,-17,2025-05-20T01:20:08.299Z,173.173
0,0,-17,2025-05-20T01:20:09.299Z,174.174
0,0,-17,2025-05-20T01:20:10.299Z,175.175
0,0,-17,2025-05-20T01:20:11.299Z,176.176
0,0,-17,2025-05-20T01:20:12.299Z,177.177
0,0,-17,2025-05-20T01:20:13.299Z,178.178
0,0,-17,2025-05-20T01:20:14.299Z,179.179
0,0,-17,2025-05-20T01:20:15.299Z,180.18
0,0,-17,2025-05-20T01:20:16.299Z,181.181
0,0,-17,2025-05-20T01:20:17.299Z,182.182
0,0,-17,2025-05-20T01:20:18.299Z,183.183
0,0,-17,2025-05-20T01:20:19.299Z,184.184
0,0,-17,2025-05-20T01:20:20.299Z,185.185
0,0,-17,2025-05-20T01:20:21.299Z,186.186
0,0,-17,2025-05-20T01:20:22.299Z,187.187
0,0,-17,2025-05-20T01:20:23.299Z,188.188
0,0,-17,2025-05-20T01:20:24.299Z,189.189
0,0,-17,2025-05-20T01:20:25.299Z,190.19
0,0,-17,2025-05-20T01:20:26.299Z,191.191
0,0,-17,2025-05-20T01:20:27.299Z,192.192
0,0,-17,2025-05-20T01:20:28.399Z,193.193
0,0,-17,2025-05-20T01:20:29.299Z,194.194
0,0,-17,2025-05-20T01:20:30.299Z,195.195
0,0,-17,2025-05-20T01:20:31.299Z,196.196
0,0,-17,2025-05-20T01:20:32.399Z,197.197
0,0,-17,2025-05-20T01:20:33.299Z,198.198
0,0,-17,2025-05-20T01:20:34.299Z,199.199
0,0,-17,2025-05-20T01:20:35.399Z,200.2
0,0,-17,2025-05-20T01:20:36.399Z,201.201
0,0,-17,2025-05-20T01:20:37.399Z,202.202
0,0,-17,2025-05-20T01:20:38.399Z,203.203
0,0,-17,2025-05-20T01:20:39.399Z,204.204
0,0,-17,2025-05-20T01:20:40.399Z,205.205
0,0,-17,2025-05-20T01:20:41.399Z,206.206
0,0,-17,2025-05-20T01:20:42.399Z,207.207
0,0,-17,2025-05-20T01:20:43.399Z,208.208
0,0,-17,2025-05-20T01:20:44.399Z,209.209
0,0,-17,2025-05-20T01:20:45.399Z,210.21
0,0,-17,2025-05-20T01:20:46.399Z,211.211
0,0,-17,2025-05-20T01:20:47.399Z,212.212
0,0,-17,2025-05-20T01:20:48.399Z,213.213
0,0,-17,2025-05-20T01:20:49.399Z,214.214
0,0,-17,2025-05-20T01:20:50.399Z,215.215
0,0,-17,2025-05-20T01:20:51.399Z,216.216
0,0,-17,2025-05-20T01:20:52.399Z,217.217
